brand_id,brand_name,colour,avg_rating
43,akkriti by pantaloons,Blue,4.416666667
43,akkriti by pantaloons,Mustard,0
43,akkriti by pantaloons,Coral,0
43,akkriti by pantaloons,Orange,0
43,akkriti by pantaloons,Red,0
44,aks,Mustard,4.1875
44,aks,Blue,4.3
44,aks,Beige,3.1875
45,akshatani,Black,0
46,alaya by stage3,Green,4.2
46,alaya by stage3,Green,0
46,alaya by stage3,Orange,0
46,alaya by stage3,Black,0
46,alaya by stage3,Black,0
46,alaya by stage3,Mustard,0
46,alaya by stage3,Green,0
46,alaya by stage3,Purple,0
46,alaya by stage3,White,0
46,alaya by stage3,Black,0
46,alaya by stage3,Green,0
46,alaya by stage3,Red,0
46,alaya by stage3,Green,0
46,alaya by stage3,Pink,0
46,alaya by stage3,Green,0
46,alaya by stage3,Pink,0
47,albion,Blue,0
47,albion,Pink,0
47,albion,Blue,0
47,albion,Blue,0
47,albion,Blue,0
47,albion,Peach,0
47,albion,Pink,0
47,albion,Pink,0
47,albion,White,0
47,albion,White,0
47,albion,Blue,0
47,albion,White,0
47,albion,White,0
48,alcis,Navy Blue,4
48,alcis,Blue,4.25
48,alcis,Black,0
48,alcis,Charcoal,3.666666667
48,alcis,Navy Blue,4.727272727
48,alcis,Navy Blue,0
48,alcis,Coral,0
48,alcis,Red,0
48,alcis,Blue,4
48,alcis,Burgundy,0
48,alcis,Grey,0
48,alcis,Red,3.642857143
48,alcis,Blue,0
48,alcis,Green,4.545454545
48,alcis,Off White,4.8
49,alena,Peach,3.307692308
50,all about you,Pink,3.977777778
50,all about you,Rust,4.2
50,all about you,Pink,4.512820513
50,all about you,Off White,4.297619048
50,all about you,Coffee Brown,3.642857143
50,all about you,Rust,3.555555556
50,all about you,Navy Blue,4.238095238
50,all about you,Black,4
50,all about you,Navy Blue,3.962962963
50,all about you,Navy Blue,4.366666667
50,all about you,Peach,3.857142857
50,all about you,Blue,3.5
50,all about you,Black,4.666666667
50,all about you,Rust,3.896551724
50,all about you,Green,0
50,all about you,Mustard,3.28125
50,all about you,Black,3.842105263
50,all about you,Blue,0
50,all about you,Tan,3.666666667
50,all about you,Blue,0
50,all about you,Teal,0
50,all about you,Black,4
50,all about you,Pink,4.272727273
50,all about you,Black,4.428571429
50,all about you,Black,2.736842105
50,all about you,Mustard,0
50,all about you,Grey,3.575757576
50,all about you,Black,4.070175439
50,all about you,Yellow,4.538461538
50,all about you,Teal,0
50,all about you,Peach,4.055555556
50,all about you,Blue,0
50,all about you,Green,4.230769231
50,all about you,Blue,3.333333333
50,all about you,Blue,3.965517241
50,all about you,Pink,4.304347826
50,all about you,Green,4.36
50,all about you,Maroon,4.157894737
50,all about you,Blue,0
50,all about you,Olive,0
50,all about you,Blue,0
50,all about you,Teal,4.380952381
50,all about you,Navy Blue,4.71875
50,all about you,Magenta,4.454545455
50,all about you,Teal,3.631578947
50,all about you,Off White,4.170731707
50,all about you,Fuchsia,3.911764706
50,all about you,Coral,0
50,all about you,Pink,0
50,all about you,Magenta,4.5
50,all about you,Blue,3.6
50,all about you,Black,0
50,all about you,Peach,3.7
50,all about you,Peach,4
50,all about you,Pink,4.2
50,all about you,Green,0
50,all about you,Cream,0
50,all about you,Blue,0
50,all about you,Blue,4.666666667
50,all about you,Purple,4.239130435
50,all about you,Blue,4.222222222
50,all about you,Maroon,4.5
50,all about you,Yellow,4.386363636
50,all about you,Red,4.236842105
50,all about you,Blue,4.2125
50,all about you,Olive,4.422222222
50,all about you,Blue,3.92327044
50,all about you,Navy Blue,3.809917355
50,all about you,Black,4.452380952
50,all about you,Navy Blue,4.142857143
50,all about you,Maroon,0
50,all about you,Pink,3.888888889
50,all about you,Green,0
50,all about you,Pink,4.32
50,all about you,Navy Blue,0
51,allen solly tribe,Olive,4.769230769
52,allen solly woman,Grey,4.54887218
52,allen solly woman,Black,3.953125
52,allen solly woman,Maroon,0
52,allen solly woman,Olive,0
52,allen solly woman,Blue,0
52,allen solly woman,Pink,0
52,allen solly woman,Black,4
52,allen solly woman,Black,0
52,allen solly woman,Navy Blue,5
52,allen solly woman,Blue,5
52,allen solly woman,Grey,0
52,allen solly woman,Black,0
52,allen solly woman,Maroon,0
52,allen solly woman,Black,0
52,allen solly woman,Navy Blue,4.571428571
52,allen solly woman,Blue,0
52,allen solly woman,Blue,0
52,allen solly woman,Yellow,4.166666667
52,allen solly woman,Charcoal,0
52,allen solly woman,Grey,0
52,allen solly woman,Green,0
52,allen solly woman,Navy Blue,0
52,allen solly woman,Black,0
52,allen solly woman,Maroon,0
52,allen solly woman,Navy Blue,0
52,allen solly woman,Olive,0
52,allen solly woman,Green,5
52,allen solly woman,Maroon,0
52,allen solly woman,Navy Blue,0
52,allen solly woman,Grey,4.416666667
52,allen solly woman,Black,4.818181818
52,allen solly woman,Purple,0
52,allen solly woman,Navy Blue,4.375
52,allen solly woman,Navy Blue,0
52,allen solly woman,Pink,0
52,allen solly woman,Black,4.444444444
52,allen solly woman,Blue,0
52,allen solly woman,Blue,4.346938776
53,alsace lorraine paris,Pink,0
53,alsace lorraine paris,Black,4.304347826
53,alsace lorraine paris,Black,0
53,alsace lorraine paris,Black,4.833333333
53,alsace lorraine paris,Black,3.692307692
53,alsace lorraine paris,Orange,0
53,alsace lorraine paris,Black,0
53,alsace lorraine paris,Orange,4.6
53,alsace lorraine paris,Orange,0
53,alsace lorraine paris,Rust,0
53,alsace lorraine paris,Orange,0
53,alsace lorraine paris,Mustard,4.277777778
53,alsace lorraine paris,Grey Melange,0
53,alsace lorraine paris,Burgundy,4.444444444
53,alsace lorraine paris,Navy Blue,0
53,alsace lorraine paris,Rust,0
53,alsace lorraine paris,Mustard,2
53,alsace lorraine paris,Red,0
53,alsace lorraine paris,Purple,4.2
53,alsace lorraine paris,Rust,4.230769231
53,alsace lorraine paris,Peach,4.1
53,alsace lorraine paris,Peach,0
53,alsace lorraine paris,Orange,4.833333333
53,alsace lorraine paris,Coral,0
53,alsace lorraine paris,Coral,0
53,alsace lorraine paris,Navy Blue,0
53,alsace lorraine paris,Yellow,0
53,alsace lorraine paris,Yellow,0
53,alsace lorraine paris,Yellow,3.4
53,alsace lorraine paris,Black,4.5
53,alsace lorraine paris,Blue,0
53,alsace lorraine paris,Green,0
53,alsace lorraine paris,Green,3.5
53,alsace lorraine paris,Mustard,4.333333333
53,alsace lorraine paris,Orange,3.4
53,alsace lorraine paris,Burgundy,0
53,alsace lorraine paris,Green,3.777777778
53,alsace lorraine paris,Peach,0
53,alsace lorraine paris,Maroon,0
53,alsace lorraine paris,Burgundy,0
53,alsace lorraine paris,Green,0
53,alsace lorraine paris,Yellow,0
53,alsace lorraine paris,Olive,0
53,alsace lorraine paris,Olive,0
53,alsace lorraine paris,Navy Blue,3.666666667
53,alsace lorraine paris,Olive,0
53,alsace lorraine paris,Navy Blue,3.5
53,alsace lorraine paris,Navy Blue,2
53,alsace lorraine paris,Navy Blue,4
53,alsace lorraine paris,Pink,3.2
53,alsace lorraine paris,Mustard,0
53,alsace lorraine paris,Pink,0
53,alsace lorraine paris,Navy Blue,0
53,alsace lorraine paris,Grey Melange,4.333333333
53,alsace lorraine paris,Green,0
53,alsace lorraine paris,Teal,0
53,alsace lorraine paris,Teal,0
53,alsace lorraine paris,Black,0
53,alsace lorraine paris,Black,0
53,alsace lorraine paris,Pink,4.25
53,alsace lorraine paris,Pink,0
53,alsace lorraine paris,Green,0
53,alsace lorraine paris,Navy Blue,3.222222222
53,alsace lorraine paris,Grey Melange,0
53,alsace lorraine paris,Burgundy,0
53,alsace lorraine paris,Burgundy,0
53,alsace lorraine paris,Burgundy,0
53,alsace lorraine paris,Coral,0
53,alsace lorraine paris,Green,0
53,alsace lorraine paris,Teal,0
53,alsace lorraine paris,Navy Blue,0
53,alsace lorraine paris,Burgundy,0
53,alsace lorraine paris,Burgundy,3.166666667
53,alsace lorraine paris,Navy Blue,0
54,am ma,Peach,0
55,amante,Black,4.484848485
55,amante,Black,4.444444444
56,american crew,Grey,4.071428571
57,american eagle outfitters,Blue,0
57,american eagle outfitters,Black,0
57,american eagle outfitters,Blue,0
