brand_id,brand_name,p_id,name,price,colour,rating_Count,avg_rating
16,aarika,17331572,Aarika Girls Navy Blue Solid Maxi Pure Cotton Flared Skirt,1499,Navy Blue,0,0
17,aarke ritu kumar,15955688,aarke Ritu Kumar Women Grey & Brown Striped Longline Shrug,4400,Grey,0,0
17,aarke ritu kumar,14360956,aarke Ritu Kumar Women Navy Blue Solid Regular Trousers,2500,Navy Blue,0,0
17,aarke ritu kumar,15907458,aarke Ritu Kumar Women Brown Suede Longline Cape Jacket,5600,Brown,0,0
17,aarke ritu kumar,15980584,aarke Ritu Kumar Green Floral Woven Design Thread Work Pure Cotton Thread Work Kurti,1900,Green,8,4
17,aarke ritu kumar,15227930,aarke Ritu Kumar Yellow Regular Longline Top,2200,Yellow,5,4.8
17,aarke ritu kumar,16309970,aarke Ritu Kumar Women Olive Green Solid Pleated Tulip Hem Trousers,1800,Olive,0,0
18,aasi,7289371,aasi Blue & White Printed Tunic,1299,Blue,7,3.571428571
18,aasi,7703779,aasi Navy Blue & Golden Printed High-Low Tunic,1499,Navy Blue,13,3.615384615
19,aasi - house of nayo,9438657,AASI - HOUSE OF NAYO Women Black & Mustard Yellow Solid Kurta with Trousers & Dupatta,2999,Black,5652,4.109164897
19,aasi - house of nayo,14440118,AASI - HOUSE OF NAYO Navy Blue Crepe Bardot Top,749,Navy Blue,20,3.95
19,aasi - house of nayo,10414130,AASI - HOUSE OF NAYO Women Off-White & Pink Printed Pure Cotton Top,999,Off White,39,3.384615385
19,aasi - house of nayo,14440146,AASI - HOUSE OF NAYO Navy Blue Striped Bell Sleeve Crepe Regular Top,999,Navy Blue,14,4.071428571
19,aasi - house of nayo,14440122,AASI - HOUSE OF NAYO Pink Floral Bell Sleeve Peplum Top,999,Pink,17,3.411764706
20,aasiya,15803238,Aasiya Women Yellow Floral Printed Regular Kurta with Sharara,2499,Yellow,393,4.020356234
21,aawari,14323120,Aawari Red Smocked Two-Piece Co-ordinate Set,2550,Red,0,0
21,aawari,18889362,Aawari Women Green High-Rise Trousers,899,Green,0,0
21,aawari,19088860,Aawari Women Tan High-Rise Shorts,700,Tan,0,0
21,aawari,18099672,Aawari Women Blue Relaxed High-Rise Cotton Trousers,1100,Blue,0,0
21,aawari,18099774,Aawari Women Black Relaxed High-Rise Trousers,1100,Black,0,0
21,aawari,14261492,Aawari Women Pink & White Printed Flared Palazzos,899,Pink,12,4.5
21,aawari,18169524,Aawari Women Purple Printed High-Rise Shorts,949,Purple,0,0
21,aawari,17903922,Aawari Women Red Floral Printed High-Rise Trousers,899,Red,0,0
21,aawari,14251758,Aawari Women Grey Printed Regular Fit Cotton Shorts,750,Grey,15,3.866666667
21,aawari,14251760,Aawari Women Red Printed Regular Fit Cotton Shorts,750,Red,0,0
21,aawari,14261558,Aawari Women Blue & White Printed Flared Palazzos,899,Blue,4,4.5
22,aayna,17692246,Aayna Women Black Flared High-Rise Trousers,1749,Black,57,3.421052632
22,aayna,17692226,Aayna Women Orange & Off White Top With Palazzo,3449,Orange,0,0
22,aayna,11642362,Aayna Women Green Embroidered Kurta with Trousers,4449,Green,226,4.084070796
22,aayna,17692236,Aayna Women Yellow & Golden Ethnic Motifs Brocade Kurta,2179,Yellow,8,4.375
22,aayna,10675122,Aayna Women Off-White Solid Flared Palazzos,1300,Off White,41,4.658536585
23,abhilasha,18787554,Abhilasha Blue & Red Floral Saree,499,Blue,0,0
23,abhilasha,18856492,Abhilasha Cream-Coloured & Yellow Floral Saree,499,Cream,0,0
23,abhilasha,18856504,Abhilasha Red & Green Saree,499,Red,0,0
23,abhilasha,18856494,Abhilasha Brown & Green Saree,499,Brown,0,0
24,abof,18320590,abof Classic White Solid Bra Top & Vest,699,White,0,0
24,abof,15941726,abof Women Blue Slim Fit Stretchable Jeans,1499,Blue,14,3.928571429
24,abof,15941714,abof Women Blue Slim Fit Stretchable Jeans,1499,Blue,19,4.578947368
24,abof,14510640,abof Women Olive Green Mid-Rise Regular Shorts,999,Olive,5,4.6
24,abof,18318924,abof Women Blue Skinny Fit Low Distress Light Fade Jeans,1499,Blue,0,0
24,abof,18320572,abof Women Attractive Multi-Coloured Typography Asymmetry Sweatshirt,1199,Multi,0,0
25,ada,14880040,ADA Pink Embroidered Sustainable Unstitched Dress Material,2990,Pink,0,0
25,ada,14880042,ADA Sustainable Pink & Green Chikankari Hand Embroidered Unstitched Dress Material,2990,Pink,0,0
25,ada,14183252,ADA Women Plus Size Black Chikankari Embroidered Pure Cotton Kurti,999,Black,0,0
25,ada,17241052,ADA White & Green Ethnic Motifs Embroidered Chikankari Kurti,1590,White,0,0
25,ada,17606268,ADA White Ethnic Motifs Chikankari Embroidered Dupatta,999,White,0,0
25,ada,14880058,ADA Sea Green & Pink Embroidered Sustainable Unstitched Dress Material,2990,Sea Green,0,0
25,ada,11716824,ADA White Chikankari Hand Embroidered Sustainable Pure Cotton Dupatta,2490,White,0,0
25,ada,11935530,ADA Women Black & Pink Chikankari Hand Embroidered Straight Sustainable Kurta,999,Black,129,4.170542636
25,ada,15319012,ADA Women White Ethnic Motifs Hem Design Handloom Palazzos,1890,White,0,0
25,ada,17241060,ADA Grey & White Ethnic Motifs Embroidered Chikankari Kurti,1790,Grey,10,4.7
25,ada,17241016,ADA Sea Green & White Ethnic Motifs Embroidered Chikankari Kurti,1990,Sea Green,5,3.6
25,ada,16872614,ADA Yellow & Green Ethnic Motifs Embroidered Chikankari Handloom Kurti,990,Yellow,6,4
25,ada,11935556,ADA Women Red & Green Chikankari Embroidered Pure Cotton Straight Sustainable Kurti,999,Red,9,4.555555556
25,ada,16055478,ADA Red & White Floral Embroidered Chikankari Kurti,1890,Red,0,0
25,ada,16872604,ADA Women Green & White Ethnic Motifs Chikankari Embroidered Handloom Kurti,1890,Green,0,0
25,ada,11516056,ADA Women White Chikankari Hand Embroidered Pure Cotton A-Line Sustainable Kurti,1390,White,121,4.363636364
25,ada,12831486,ADA White Chikankari Hand Embroidered Sustainable Cotton Dupatta,4590,White,0,0
25,ada,11716846,ADA White Chikankari Hand Embroidered Sustainable Dupatta,4590,White,0,0
25,ada,17866054,ADA Green & White Ethnic Motifs Embroidered Chikankari Kurti,1990,Green,0,0
25,ada,17241032,ADA Peach-Coloured & White Ethnic Motifs Embroidered Chikankari Kurti,1990,Peach,6,4.666666667
25,ada,12831464,ADA Grey Organza Chikankari Hand Embroidered Semi Sheer Sustainable Dupatta,2290,Grey,0,0
25,ada,12131062,ADA Women Blue & White Chikankari Embroidered Pure Cotton Straight Sustainable Kurti,999,Blue,73,4.452054795
25,ada,11275704,ADA White Solid Mukaish Work Sustainable Dupatta,1490,White,9,4.333333333
25,ada,12500962,ADA Women Navy & White Chikankari Hand Embroidered Detail Sustainable A-Line Pure Cotton Top,999,Navy Blue,8,3.125
25,ada,18197530,ADA Peach-Coloured & White Ethnic Motifs Embroidered Chikankari Kurti With Slip,1990,Peach,0,0
25,ada,18197542,ADA Light Blue & White Ethnic Motifs Embroidered Chikankari Kurti With Slip,1990,Blue,0,0
25,ada,11935454,ADA Women Red & Beige Chikankari Embroidered Pure Cotton Straight Sustainable Kurti,990,Red,57,4.157894737
25,ada,16055470,ADA Pink & White Ethnic Motifs Embroidered Chikankari Kurti,990,Pink,13,4.769230769
25,ada,15838484,ADA Yellow Hand Embroidered Chikankari Kota Kurti With Matching Slip,2790,Yellow,5,3.4
25,ada,11516046,ADA Women Black & Pink Chikankari Hand Embroidered Pure Cotton Straight Sustainable Sustainable Kurti,990,Black,247,4.198380567
25,ada,17241022,ADA Yellow & White Ethnic Motifs Embroidered Chikankari Kurti,1990,Yellow,5,4.6
25,ada,18197544,ADA Women Green & White Ethnic Motif Embroidered Chikankari Kurti With Slip,1990,Green,0,0
25,ada,17606272,ADA White Ethnic Motifs Chikankari Embroidered Dupatta,1890,White,0,0
25,ada,17606270,ADA White Ethnic Motifs Chikankari Embroidered Dupatta,1890,White,0,0
25,ada,17866056,ADA Green & White Ethnic Motifs Embroidered Chikankari Kurti,1990,Green,0,0
26,adbucks,19085128,ADBUCKS Women Green Slim Fit High-Rise Peg Trousers,1499,Green,0,0
27,addyvero,19040144,ADDYVERO Women Black High-Rise Easy Wash Trousers,1699,Black,96,4.239583333
27,addyvero,19164944,ADDYVERO Women Black Relaxed High-Rise Easy Wash Trousers,1699,Black,6,4.833333333
27,addyvero,19040140,ADDYVERO Women Burgundy High-Rise Easy Wash Trousers,1699,Burgundy,13,4.461538462
