brand_id,colour
68,Black
68,White
68,Pink
69,Coral
69,Beige
69,Off White
69,Black
69,Multi
69,Multi
70,Multi
71,Black
71,Yellow
72,Blue
72,Pink
72,Pink
72,Green
73,Black
73,Maroon
73,Brown
73,Beige
73,Multi
73,Blue
73,Grey
73,White
73,Grey
73,Yellow
74,Copper
75,Black
75,Mauve
75,Yellow
75,Sea Green
75,Off White
75,Navy Blue
75,Peach
75,Navy Blue
75,Green
75,Black
75,Red
75,Red
75,Pink
75,Red
75,Beige
75,Pink
75,Teal
75,Pink
75,Red
75,Beige
75,Black
75,Mustard
75,Magenta
75,Pink
75,Maroon
75,Navy Blue
75,Purple
75,Maroon
75,Charcoal
75,Lime Green
75,Green
75,Pink
75,Purple
75,Mustard
75,Orange
75,Blue
75,White
75,Black
75,Maroon
75,Pink
75,Charcoal
75,Red
75,Pink
75,Red
75,Black
75,Green
75,Yellow
75,Blue
75,Navy Blue
75,Turquoise Blue
75,Black
75,Blue
75,Blue
75,Purple
75,Brown
75,White
75,Black
75,Red
75,Rust
75,Mustard
75,Green
75,Pink
75,Pink
75,White
75,Blue
75,Cream
75,Navy Blue
75,Maroon
75,Mustard
75,Red
75,White
75,Purple
75,Maroon
75,Red
75,Maroon
75,Pink
75,Purple
75,Turquoise Blue
75,Turquoise Blue
75,Blue
75,Mustard
75,Navy Blue
75,Grey
75,Green
75,Teal
75,Multi
75,Red
75,Rust
75,Blue
75,Pink
75,Sea Green
75,Mustard
75,Red
75,Black
75,Multi
75,Black
75,Pink
75,Maroon
75,Blue
75,Purple
75,Red
75,Maroon
75,Mustard
75,Pink
75,Blue
75,Navy Blue
75,Pink
75,Maroon
75,Blue
75,Blue
75,Pink
75,Yellow
75,Red
75,Coral
75,Green
75,White
75,Black
75,Orange
75,Blue
75,Fuchsia
75,Peach
75,Teal
75,Mustard
75,Turquoise Blue
75,Maroon
75,Navy Blue
75,Grey
75,Black
75,Grey
75,Pink
75,Magenta
75,Red
75,Orange
75,Green
75,Green
75,Black
75,Black
75,Navy Blue
75,Orange
75,Off White
75,Green
75,Orange
75,White
75,White
75,Black
75,White
75,Black
75,Blue
75,Purple
75,Maroon
75,Turquoise Blue
75,Green
75,Maroon
75,Navy Blue
75,Pink
75,Navy Blue
75,Black
75,Green
75,Orange
75,Blue
75,Orange
75,Black
75,Olive
